Tanggal,Netto_kg_aktual,Netto_kg_prediksi
2022-10-06,63859.99999999999,61844.12
2022-10-07,27070.0,61698.176
2022-10-08,81370.0,61476.957
2022-10-09,69695.0,61230.133
2022-10-10,69935.0,61031.7
2022-10-11,84820.0,60752.355
2022-10-12,70385.0,60562.69
2022-10-13,52390.0,60476.5
2022-10-14,43355.0,60482.11
2022-10-15,89715.0,60494.562
2022-10-16,86395.0,60519.277
2022-10-17,81240.0,60659.2
2022-10-18,73110.0,60749.293
2022-10-19,76795.0,60916.242
2022-10-20,81800.0,61224.47
2022-10-21,44990.0,61554.695
2022-10-22,41960.0,61902.543
2022-10-23,70370.0,62140.637
2022-10-24,59560.00000000001,62358.805
2022-10-25,68390.0,62346.375
2022-10-26,57410.0,62223.86
2022-10-27,61295.0,62087.367
2022-10-28,41710.0,61892.56
2022-10-29,82640.0,61628.633
2022-10-30,60605.0,61329.69
2022-10-31,84855.0,61128.5
2022-11-01,70140.0,60874.113
2022-11-02,59320.0,60711.89
2022-11-03,64635.0,60624.633
2022-11-04,34720.0,60597.4
2022-11-05,74095.0,60574.754
2022-11-06,60125.0,60499.234
2022-11-07,16930.0,60498.914
2022-11-08,26180.0,60229.62
2022-11-09,108545.0,59841.043
2022-11-10,55645.0,59393.902
2022-11-11,80000.0,58916.242
2022-11-12,81185.0,58571.695
2022-11-13,26705.0,58422.254
2022-11-14,66695.0,58373.438
2022-11-15,48485.0,58222.58
2022-11-16,69710.0,58100.5
2022-11-17,75270.0,58008.918
2022-11-18,68335.0,57981.4
2022-11-19,70660.0,57998.5
2022-11-20,67455.0,58068.97
2022-11-21,46305.0,58307.844
2022-11-22,36650.0,58554.6
2022-11-23,58795.0,58646.11
2022-11-24,87405.0,58681.086
2022-11-25,89480.0,58655.39
2022-11-26,81660.0,58712.766
2022-11-27,72695.0,58862.2
2022-11-28,73090.0,59179.83
2022-11-29,13195.0,59468.754
2022-11-30,66889.0,59795.18
2022-12-01,58851.0,59959.305
2022-12-02,64129.99999999999,60064.707
2022-12-03,61011.99999999999,60106.617
2022-12-04,70814.0,60058.836
2022-12-05,69937.0,60057.836
2022-12-06,68099.0,59941.71
2022-12-07,88923.0,59898.26
2022-12-08,91660.0,60047.85
2022-12-09,95550.0,60281.992
2022-12-10,81995.0,60434.266
2022-12-11,69018.0,60919.125
2022-12-12,100126.0,61434.164
2022-12-13,64707.99999999999,62038.504
