Tahun,Hari Raya dengan Sampah Tertinggi,Netto_kg Tertinggi,Hari Raya dengan Sampah Terendah,Netto_kg Terendah,Rata-rata Netto_kg
2021,Hari Buruh,97665.0,Imlek,12270.0,62539.61538461538
2022,Waisak,89556.0,Wafat Isa Almasih,7940.0,55827.846153846156
