Tanggal,Netto_kg_aktual,Netto_kg_prediksi
2022-10-06,63859.99999999999,66811.96
2022-10-07,27070.0,66674.55
2022-10-08,81370.0,66466.125
2022-10-09,69695.0,66234.375
2022-10-10,69935.0,66041.25
2022-10-11,84820.0,65765.2
2022-10-12,70385.0,65563.414
2022-10-13,52390.0,65449.754
2022-10-14,43355.0,65419.68
2022-10-15,89715.0,65403.348
2022-10-16,86395.0,65408.152
2022-10-17,81240.0,65523.184
2022-10-18,73110.0,65592.05
2022-10-19,76795.0,65733.8
2022-10-20,81800.0,66011.0
2022-10-21,44990.0,66314.9
2022-10-22,41960.0,66645.01
2022-10-23,70370.0,66888.625
2022-10-24,59560.00000000001,67130.16
2022-10-25,68390.0,67162.79
2022-10-26,57410.0,67093.91
2022-10-27,61295.0,67006.55
2022-10-28,41710.0,66855.625
2022-10-29,82640.0,66631.07
2022-10-30,60605.0,66363.96
2022-10-31,84855.0,66174.5
2022-11-01,70140.0,65920.266
2022-11-02,59320.0,65739.18
2022-11-03,64635.0,65621.08
2022-11-04,34720.0,65559.3
2022-11-05,74095.0,65508.926
2022-11-06,60125.0,65420.035
2022-11-07,16930.0,65407.617
2022-11-08,26180.0,65152.887
2022-11-09,108545.0,64798.47
2022-11-10,55645.0,64390.836
2022-11-11,80000.0,63942.086
2022-11-12,81185.0,63599.574
2022-11-13,26705.0,63420.78
2022-11-14,66695.0,63326.54
2022-11-15,48485.0,63141.535
2022-11-16,69710.0,62992.848
2022-11-17,75270.0,62882.87
2022-11-18,68335.0,62838.766
2022-11-19,70660.0,62838.164
2022-11-20,67455.0,62888.664
2022-11-21,46305.0,63103.71
2022-11-22,36650.0,63331.363
2022-11-23,58795.0,63422.535
2022-11-24,87405.0,63475.957
2022-11-25,89480.0,63476.28
2022-11-26,81660.0,63548.406
2022-11-27,72695.0,63693.035
2022-11-28,73090.0,63986.88
2022-11-29,13195.0,64246.363
2022-11-30,66889.0,64552.914
2022-12-01,58851.0,64723.723
2022-12-02,64129.99999999999,64856.22
2022-12-03,61011.99999999999,64937.137
2022-12-04,70814.0,64931.754
2022-12-05,69937.0,64965.883
2022-12-06,68099.0,64874.99
2022-12-07,88923.0,64841.73
2022-12-08,91660.0,64980.4
2022-12-09,95550.0,65180.56
2022-12-10,81995.0,65293.625
2022-12-11,69018.0,65715.734
2022-12-12,100126.0,66171.28
2022-12-13,64707.99999999999,66723.93
2022-12-14,65624.0,67463.22
2022-12-15,68432.0,68060.81
2022-12-16,80385.0,68641.81
2022-12-17,65135.0,69086.7
2022-12-18,81794.0,69430.62
2022-12-19,73883.0,69718.47
2022-12-20,57720.0,69934.81
2022-12-21,64860.99999999999,70081.12
2022-12-22,48767.0,70191.766
2022-12-23,86335.0,70207.45
2022-12-24,80385.0,70082.15
2022-12-25,70341.0,69856.445
2022-12-26,73499.0,69632.984
2022-12-27,60380.99999999999,69452.23
2022-12-28,40848.0,69303.41
2022-12-29,71865.0,69114.445
2022-12-30,71952.0,69026.81
2022-12-31,67631.0,68759.0
2023-01-01,67567.0,68503.555
2023-01-02,55738.0,68238.25
2023-01-03,7940.0,67979.38
2023-01-04,89556.0,67611.14
2023-01-05,84785.0,67190.1
2023-01-06,59531.00000000001,66782.03
2023-01-07,34175.0,66355.09
